symbol,name,sector,in_sp500,in_nasdaq100
SWK,Stanley Black & Decker,Industrials,true,false
SWKS,Skyworks Solutions,Information Technology,true,false
SYF,Synchrony Financial,Financials,true,false
SYK,Stryker Corporation,Health Care,true,false
SYY,Sysco,Consumer Staples,true,false
T,AT&T,Communication Services,true,false
TAP,Molson Coors Beverage Company,Consumer Staples,true,false
TDG,TransDigm Group,Industrials,true,false
TDY,Teledyne Technologies,Information Technology,true,false
TECH,Bio-Techne,Health Care,true,false
TEL,TE Connectivity,Information Technology,true,false
TER,Teradyne,Information Technology,true,true
TFC,Truist Financial,Financials,true,false
TGT,Target Corporation,Consumer Staples,true,false
TJX,TJX Companies,Consumer Discretionary,true,false
TKO,TKO Group Holdings,Communication Services,true,false
TMO,Thermo Fisher Scientific,Health Care,true,false
TMUS,T-Mobile US,Communication Services,true,true
TPL,Texas Pacific Land Corporation,Energy,true,false
TPR,"Tapestry, Inc.",Consumer Discretionary,true,false
TRGP,Targa Resources,Energy,true,false
TRI,Thomson Reuters,Information Technology,false,true
TRMB,Trimble Inc.,Information Technology,true,false
TROW,T. Rowe Price,Financials,true,false
TRV,Travelers Companies (The),Financials,true,false
TSCO,Tractor Supply,Consumer Discretionary,true,false
TSLA,"Tesla, Inc.",Consumer Discretionary,true,true
TSN,Tyson Foods,Consumer Staples,true,false
TT,Trane Technologies,Industrials,true,false
TTD,Trade Desk (The),Communication Services,true,false
TTWO,Take-Two Interactive,Communication Services,true,true
TXN,Texas Instruments,Information Technology,true,true
TXT,Textron,Industrials,true,false
TYL,Tyler Technologies,Information Technology,true,false
UAL,United Airlines Holdings,Industrials,true,false
UBER,Uber,Industrials,true,false
UDR,"UDR, Inc.",Real Estate,true,false
UHS,Universal Health Services,Health Care,true,false
ULTA,Ulta Beauty,Consumer Discretionary,true,false
UNH,UnitedHealth Group,Health Care,true,false
UNP,Union Pacific Corporation,Industrials,true,false
UPS,United Parcel Service,Industrials,true,false
URI,United Rentals,Industrials,true,false
USB,U.S. Bancorp,Financials,true,false
V,Visa Inc.,Financials,true,false
VEEV,Veeva Systems,Health Care,true,false
VICI,Vici Properties,Real Estate,true,false
VLO,Valero Energy,Energy,true,false
VLTO,Veralto,Industrials,true,false
VMC,Vulcan Materials Company,Materials,true,false
VRSK,Verisk Analytics,Industrials,true,false
VRSN,Verisign,Information Technology,true,false
VRT,Vertiv,Industrials,true,false
VRTX,Vertex Pharmaceuticals,Health Care,true,true
VST,Vistra Corp.,Utilities,true,false
VTR,Ventas,Real Estate,true,false
VTRS,Viatris,Health Care,true,false
VZ,Verizon,Communication Services,true,false
WAB,Wabtec,Industrials,true,false
WAT,Waters Corporation,Health Care,true,false
WBD,Warner Bros. Discovery,Communication Services,true,true
WDAY,"Workday, Inc.",Information Technology,true,true
WDC,Western Digital,Information Technology,true,true
WEC,WEC Energy Group,Utilities,true,false
WELL,Welltower,Real Estate,true,false
WFC,Wells Fargo,Financials,true,false
WM,Waste Management,Industrials,true,false
WMB,Williams Companies,Energy,true,false
WMT,Walmart,Consumer Staples,true,true
WRB,W. R. Berkley Corporation,Financials,true,false
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,true,false
WST,West Pharmaceutical Services,Health Care,true,false
WTW,Willis Towers Watson,Financials,true,false
WY,Weyerhaeuser,Real Estate,true,false
WYNN,Wynn Resorts,Consumer Discretionary,true,false
XEL,Xcel Energy,Utilities,true,true
XOM,ExxonMobil,Energy,true,false
XYL,Xylem Inc.,Industrials,true,false
XYZ,"Block, Inc.",Financials,true,false
YUM,Yum! Brands,Consumer Discretionary,true,false
ZBH,Zimmer Biomet,Health Care,true,false
ZBRA,Zebra Technologies,Information Technology,true,false
ZTS,Zoetis,Health Care,true,false
